id,item_type,title,chars,words
1999,Still Image,"Warten auf die Repatriierung, 25. April 1945",253,41
2000,Text Item,"Bericht in der DP-Zeitung 'Unzer Sztyme', 15. Oktober 1945",948,151
2001,Text Item,"Aufruf der Kulturabteilung des Zentralkomitees der befreiten Juden in der britischen Zone, 29. November 1945",869,128
2002,Text Item,"Auszug aus dem Artikel von Georg Will in der Werbebroschüre des Kinos, vermutlich 1938",285,50
2003,Text Item,"Auszug aus der Resolution des 1. Kongresses der Überlebenden, 25.-27. September 1945",0,0
2004,Still Image,"Innenansicht des Offiziersheims, 1930er/1940er Jahre",196,30
2005,Still Image,"Innenansicht des Kinosaals, vermutlich 1938",107,17
2006,Still Image,"Innenansicht des Kinosaals mit Blick zur Bühne, vermutlich 1938",63,10
2007,Still Image,"Frontseite des Kinogebäudes, 1937",0,0
2008,Physical Object,"Auszug aus dem Arbeitsbuch einer Zivilangestellten, 1938-1944",444,74
2009,Biographical Text,Madeleine Weis-Bauler,448,68
2010,Biographical Text,Georg Will,472,85
2011,Still Image,"Die heutige Ansicht des Eingangs vom Gebäude M.B. 87, April 2019",58,11
2012,Contextual Item,Unterhaltung im DP-Camp,838,133
2013,Contextual Item,Hilfsmaßnahmen nach der Befreiung,933,151
2014,Viewpoint,VP Das Displaced Persons Camp Bergen-Belsen,0,0
2015,Still Image,"Schreiben des Kommandanten des Truppenübungsplatzes, 
11. September 1939",398,66
2016,Text Item,"Auszug aus dem Brief des Wehrmachtangehörigen H. V. an seine Frau, 11. Oktober 1941",542,94
2017,Still Image,"Das Ensemble des „Kazet“-Theaters in Häftlingskleidung, undatiert",487,67
2018,Biographical Text,Sami Feder,843,140
2019,Physical Object,"Tagebucheintrag von Leopold Claessens, 16. April 1945 (1. Seite)",0,0
2020,Physical Object,"Tagebucheintrag von Leopold Claessens, 16. April 1945 (2. Seite)",0,0
2021,Still Image,"Ehemaliges Wachpersonal und befreite Häftlinge vor dem Gebäude M.B. 90, 16. April 1945",462,76
2022,Physical Object,"Tagebucheintrag Leopold Claessens, 16. April 1945 (2 Seiten)",225,35
