id,item_type,title,chars,words
1310,Text Item,Läuse als Krankheitsüberträger,770,131
1311,Oral History,Arbeitskommandos innerhalb des Lagers,2052,378
1312,Text Item,Mensch bleiben im Lager,619,107
1313,Oral History,Veränderungen durch den neuen Lagerkommandanten,1281,223
1323,Still Image,"21 April, 1945",158,27
1324,Still Image,17 April 1945,157,28
1325,Still Image,21 April 1945,171,28
1326,Still Image,21 April 1945,94,15
1327,Still Image,22 April 1945,188,33
1328,Still Image,22 April 1945,264,48
1329,Still Image,Late April 1945,162,26
1330,Still Image,"""Dusting""",286,48
1331,Still Image,28 April 1945,49,8
1332,Text Item,"[Late April 1945, Lipstick]",641,115
1333,Still Image,(Hohne test item) BU 6591,0,0
1334,Still Image,(test item Hohne 2),18,3
1336,Still Image,Aerial view of Bergen-Belsen,87,14
1338,Still Image,"Vogelvlucht teekening  van Westerbork, Augustus 1944",787,123
1376,Contextual Item,Daily Life,1718,228
1377,Contextual Item,"Food, Kitchens",1092,178
1378,Contextual Item,Liberation and its aftermath,1006,159
1379,Contextual Item,Hygiene,398,69
1380,Contextual Item,Roll call,1167,190
1438,Text Item,Arrival at the Women's camp,2283,412
1439,Text Item,Meeting Anne Frank again,1776,321
1440,Text Item,Children and adults in the camp,434,73
1441,Still Image,Title page of János Reisz's diary,150,24
1442,Still Image,"Pop ""Mies""",260,47
1443,Text Item,The German language,437,69
1444,Text Item,Moving again in the camp,753,141
1445,Text Item,Arrival in Bergen-Belsen,1303,225
1446,Text Item,Calendar sheet 1945,649,111
1447,Still Image,Exchange certificate for Luise Weinberg-Halberstadt and Werner Weinberg,239,34
1448,Still Image,Status report for Bergen-Belsen concentration camp (male prisoners) 31 March 1945,359,55
1449,Still Image,Status report for Bergen-Belsen concentration camp (female prisoners) 15 March 1945,122,16
1450,Still Image,Excerpt from the transport list for the train from Westerbork to Bergen-Belsen on 19 May 1944,369,58
1451,Still Image,Transport list issued on 6 September 1944 for a transport of “unknown children” from Westerbork to Bergen-Belsen,391,61
1452,Text Item,Neuordnung der Lagerverwaltung,693,119
1453,Still Image,,19,2
1454,Still Image,,19,2
1457,Still Image,Poem written by Naomi Tal in October 1944 as a birthday present to her father Alexander,388,76
1458,Text Item,Surrender of the camp,1235,239
1459,Text Item,Frail inmates mistrust the new troops,336,59
1460,Still Image,The burning of the last prisoner hut,148,24
1461,Still Image,The first Jewish monument,704,112
1464,Still Image,Carriage,111,15
1465,Still Image,PLACEHOLDER IMAGE,127,16
1478,Text Item,Roll call in the Men's Camp,1103,201
1480,Still Image,"« Corvée des cadavres Belsen-Bergen, avril 45 »",41,5
1481,Still Image,Burning of the last hut,56,11
1482,Still Image,"Konzentr. Lager Bergen-Belsen, Zustand Jan. 1944",78,8
1488,Contextual Item,Different sections: the Exchange Camp,961,157
1490,Contextual Item,Different sections: the Men's and Women's Camps,703,111
1491,Contextual Item,Labour in the camp,649,117
1492,Contextual Item,Children,1742,305
1494,Still Image,official birth certificate for Gabriella Büchler,280,40
1503,Text Item,Transport of the children,2312,431
1504,Text Item,Ein Paar Handschuhe,805,151
1507,Still Image,Babykleidung,261,46
1508,Still Image,Becher eines Häftlings,298,51
1516,Moving Image,item video prueba,0,0
1517,Physical Object,Kintsugi blue cup,53,8
1518,Text Item,item text item prueba,41,7
1519,Sound,Sound item prueba,0,0
1535,Moving Image,"Kitchen fragment, Susanna Christensen",166,25
1537,Sound,Lebensbedingungen,20,2
1541,Biographical Text,Irene Butter,1659,268
1542,Contextual Item,Prisoners from the Netherlands,3086,478
1543,Text Item,Läuse,540,101
1544,Still Image,Group of children in front of a hut,339,53
1545,Text Item,Arrival of new prisoners,505,85
1546,Still Image,Entry for Rut Tal in the camp administration's death ledger,148,25
1547,Still Image,"Simon Maandag inside the liberated concentration camp at Bergen-Belsen, 20 April 1945",459,78
1548,Still Image,"Children liberated from an orphans’ hut, 20 April 1945",54,9
1549,Text Item,Meeting surviving children,640,118
1550,Still Image,Notification of transfer,209,28
1551,Still Image,Document confirming Paraguayan citizenship,814,128
1552,Biographical Text,Carla Dotsch,909,147
1553,Contextual Item,Diaries in the Bergen-Belsen concentration camp,1070,177
1554,Text Item,Text Length Test Item,4666,706
1555,Still Image,Item prueba imagen panoramica,0,0
1556,Text Item,29. September 44,63,8
1557,Still Image,Der jüdische Friedhof in Tröbitz,30,5
1558,Contextual Item,The Evacuation of the Exchange Camp,893,142
1559,Text Item,Während des Räumungstransports,929,155
1560,Text Item,Im Außenlager Unterlüß,593,115
1561,Text Item,Religiosität im Austauschlager,1467,256
1562,Still Image,Angekommene Transporte,360,61
1563,Still Image,The Birnbaum family at the Westerbork transit camp,417,72
1577,Still Image,Armbinde und Tasche von Hilde Grünbaum,380,66
1578,Still Image,Bibel und Predigtskizze,422,74
1579,Contextual Item,Playing and school,729,119
1580,Contextual Item,Austausch,1303,195
1581,Contextual Item,Transports from the Exchange Camp,1655,266
1582,Contextual Item,Transports from the Men's and Women's Camps,457,69
1583,Text Item,Report from the Belsen trial,1111,191
1584,Still Image,"For example, Jan Telling",371,58
1585,Still Image,"For example, Meta and Joseph Heymann",600,96
1586,Still Image,"For example, Jeanette Havas van Weezel and her children",474,80
1587,Physical Object,Aimé Blanc's prisoner tag,148,25
1588,Still Image,Wanda Kopéc's collection of personal photographs,718,118
1589,Contextual Item,The Prisoners' Options,979,158
1590,Biographical Text,Josef Weiss,2213,371
1591,Still Image,First page of Peter Sussmann's diary,262,43
1592,Landscape Item,Latrines,32,3
1593,Still Image,Blick vom Wachturm,262,41
1594,Still Image,"Giuseppe Cigognetti, 2007",102,17
1595,Biographical Text,Angelo Gatto,1503,257
1596,Text Item,Die Situation der Italienischen Militärinternierten,654,112
1597,Still Image,Die Einrichtung des Austauschlagers,500,73
1598,Still Image,Blick in das Sternlager,40,7
1599,Still Image,"Das Brot, 1944",30,4
1601,Still Image,Ebédosztás,79,10
1602,Contextual Item,Pläne von Häftlingen,647,104
1603,Text Item,Kampf gegen Läuse,999,184
1604,Still Image,Reggeli imádkozás a 41/b barakkban,85,11
1605,Contextual Item,Religious life,792,129
1607,Still Image,Betten in der Baracke,38,6
1609,Still Image,Barak belsö,73,10
1610,Contextual Item,Die Unterbringung,765,134
1611,Text Item,Das Arbeitskommando der Weberei,753,123
1612,Still Image,Létszámellenörzés a Bergen-Belseni táborban,89,11
1613,Still Image,Temetés a magyar 'Sondern-Lagerban'. A gyászolók a kapuig követhettik a halottas kocsit,156,23
1614,Still Image,Hullaszállitó autó,60,7
1615,Text Item,"Tagebuch József Lukács, Einträge vom 8. bis 21. April 1945",1180,206
1616,Still Image,Tagebucheintrag von Renata Laqueur vom 4. Mai 1944,1289,239
1617,Text Item,The liberation,541,109
1618,Still Image,"Čin-Čin fairy-tale book belonging to Pavel Kučera , 1940s",127,21
1619,Text Item,I had a book of fairy tales,541,97
1620,Still Image,"Certificate for Ariella Majer, December 1944",295,46
1621,Text Item,My little doll,487,93
1622,Still Image,Letter of gratitude,210,32
1623,Text Item,We're free,372,71
1624,Text Item,A mother's death,1340,245
1625,Contextual Item,Death in the camp,969,160
1626,Text Item,From Westerbork to Bergen-Belsen,917,162
1627,Contextual Item,Children in the women's camp,574,93
1628,Contextual Item,"For example, the diamond workers' children",631,105
1629,Contextual Item,The 'unknown children',654,96
1630,Contextual Item,The moment of liberation,687,111
1631,Biographical Text,Gershon Willinger,437,75
1632,Landscape Item,LND Delousing (1),15,2
1633,Landscape Item,LND Delousing (2),15,2
1634,Landscape Item,LND Women's camp,624,100
1635,Landscape Item,LND Men's camp,473,71
1636,Landscape Item,LND Main street,640,115
1637,Landscape Item,LND Vegetable cellar,16,2
1638,Physical Object,Spielzeughund,95,17
1639,Contextual Item,Transports to and from the exchange camp,900,147
1640,Contextual Item,Transports to and from the men's and women's camps,1363,218
1641,Biographical Text,Hetty Verolme,482,79
1642,Oral History,Visiting Bergen-Belsen today,944,175
1643,Oral History,Das Grab meines Vaters,738,148
1644,Still Image,Commemoration stone for Anne and Margot Frank,76,12
1691,Text Item,Food,4,1
1692,Text Item,The charnel house,0,0
1694,Text Item,New arrivals in the women's camp,1023,183
1696,Still Image,Ebédosztás a häftlingek táborban,98,13
1698,Landscape Item,LND Watchtower (#T1),42,5
1709,Landscape Item,LND Watchtower (#T20),10,1
1715,Background Panel,Black Background,0,0
1740,Exhibit Metadata,Demo exhibit (titles),19,3
1756,Viewpoint,"VP demo, MB89",0,0
1757,Viewpoint,"VP demo, Roundhouse1",0,0
1758,Viewpoint,VP Roundhouse 2,0,0
1759,Landscape Item,LND Watchtower (#T10),10,1
1760,Landscape Item,LND Watchtower (#T2),10,1
1761,Viewpoint,VP (unused),0,0
1762,Viewpoint,VP (unused),0,0
1763,Viewpoint,VP (unused),0,0
1764,Viewpoint,VP (unused),0,0
1765,Viewpoint,VP (unused),0,0
1766,Viewpoint,VP (unused),0,0
1770,Biographical Text,Wiesław Chrzanowski,1069,180
1778,Landscape Item,LND Gate to Prisoner Compound,418,71
1779,Landscape Item,LND Workshops,9,1
1780,Landscape Item,"LND Potatoes and turnips, storage clamps",36,5
1781,Landscape Item,Tent (women's) camp,9,2
1785,Still Image,Impressions from the camp,177,25
1793,Text Item,"27. August 1944, II",1917,370
1795,Physical Object,Pop 'Mies',260,47
1798,Still Image,Impressions from the camp,100,13
1800,Contextual Item,the diamond workers' children,650,107
1801,Landscape Item,Garage,6,1
1802,Landscape Item,"Potatoes and turnips, storage clamps",36,5
1803,Biographical Text,Biographic prove,0,0
1804,Viewpoint,VPTest1,0,0
1805,Viewpoint,VPTest2,0,0
1806,Viewpoint,VPTest3,0,0
1807,Viewpoint,VPTest4,0,0
1808,Viewpoint,VPTestPrincipialMetadata,0,0
1809,Viewpoint,VPTestPrincipal2Metadata,0,0
1810,Landscape Item,LND The Roundhouse,14,2
1811,Landscape Item,LND Officers accomodations,23,2
1812,Landscape Item,LND Wehrmacht Lazarett (hospital),42,5
1813,Landscape Item,"LND Main Entrance (North, of Garrison)",13,2
1814,Landscape Item,LND Train Loading Platform,22,3
1815,Landscape Item,LND GB 06 (POW Headquarters),25,4
1816,Still Image,Children on swings after liberation,157,25
1817,Still Image,Inmates preparing to leave Hohne barracks,185,29
1818,Still Image,Patients in beds at parade ground,196,33
1819,Still Image,Ward at Hohne Barracks,223,35
1820,Still Image,Cabin (dummy),26,5
1821,Still Image,Roundhouse main hall,35,7
1822,Still Image,View of the Roundhouse,22,4
1823,Landscape Item,LND Concentration camp Bergen-Belsen,32,3
1824,Exhibit Metadata,The Roundhouse (titles),14,2
1825,Exhibit Metadata,The North entrance (titles),14,3
1826,Exhibit Metadata,"UNUSED, free",18,3
1827,Exhibit Metadata,The Hospital (titles),12,2
1828,Exhibit Metadata,POW Headquarters (titles),25,4
1829,Exhibit Metadata,Cinema (titles),10,2
1830,Viewpoint,VPTest5,0,0
1831,Viewpoint,VPTest6,0,0
1832,Still Image,"Kommandantur des Stalag XI C (311) Bergen-Belsen, ca. 1942",59,9
1833,Still Image,"This was Breakfast on the Second Day, 16/17 April 1945",217,36
1834,Biographical Text,William Ernest Roach,824,143
1835,Text Item,"Auszug aus einem Brief von William E. Roach an seine Mutter, 24. April 1945",70,14
1836,Text Item,"Aus dem Tagebuch von Leopold Claessens, 16. April 1945",445,85
1839,Still Image,"Aufnahme aus dem befreiten Nebenlager, 16. April 1945",304,45
1840,Biographical Text,Otto Rosenberg,629,100
1841,Text Item,"Auszug aus der Autobiografie von Otto Rosenberg, Berlin 1998",622,103
1842,Text Item,"Aus dem Erinnerungsbericht von Osiride Brovedani, Triest 1971",662,117
1843,Physical Object,"Tagebuch von Leopold Claessens, Beginn des Eintrags vom 10. April 1945",181,29
1844,Still Image,"Zeichnung von Léon Delarbre, April 1945",326,56
1845,Still Image,"Kommandantur des Stalag XI C (311) Bergen-Belsen, ca. 1942",59,9
1846,Still Image,Ehrentafel für die an Fleckfieber gestorbenen Soldaten der Wachmannschaft des Kriegsgefangenenlagers,196,34
1848,Biographical Text,Osiride Brovedani,293,48
1849,Physical Object,"Auszug aus dem Notizheft von Rafael Olewski, 25. April 1945",193,31
1851,Still Image,"Einweihung des Offiziersheimes auf dem Truppenübungsplatz Bergen, 26. April 1937",399,67
1852,Still Image,"Ansicht des Offiziersheims im Truppenlager Bergen-Hohne, 1930er Jahre",189,31
1853,Still Image,"Betten des Nothospitals im großen Saal des ehemaligen Offizierheims, Frühjahr 1945",227,39
1854,Still Image,"Das Nothospital im Offiziersheim, Frühjahr 1945",0,0
1855,Still Image,Ausweis des britischen Medizinstudenten Gordon Walker für Bergen-Belsen,421,76
1856,Contextual Item,Das Nothospital im Offiziersheim,1098,164
1857,Still Image,Adressangaben in der Kaserne,333,52
1858,Still Image,"Verzeichnis der weinkontrollpflichtigen Betriebe, 1. Dezember 1940",258,44
1859,Text Item,"Auszug aus dem Brief des Wehrmachtangehörigen W. Damaschke, 21. Juli 1941",891,155
1860,Text Item,"Auszug aus dem Brief des Wehrmachtangehörigen W. Damaschke, 21. Juli 1941",1154,200
1861,Text Item,"Auszug aus dem Brief des Wehrmachtangehörigen W. Damaschke, 17. Juli 1941",882,153
1862,Text Item,"Auszug aus dem Brief des Wehrmachtangehörigen W. Damaschke, 29. Juli 1941",1098,200
1863,Physical Object,"Kinokarte für den Film „Ein ganzer Kerl"", 24. Januar 1941 ",80,14
1864,Physical Object,"Kinokarte für einen Verwundeten, 17. August 1942",246,42
1865,Physical Object,"Eintrittskarte Kino, 25. Juni 1942",150,24
1866,Physical Object,"Eintrittskarte Kino, 5. Februar 1941",223,37
1867,Physical Object,"Kinokarte, 8. Juni 1941",176,29
1868,Physical Object,"Kinokarte, 4. September 1941 ",125,20
1869,Physical Object,"Veranstaltungsplakat Truppenlichtspiele, März 1943",113,17
1870,Text Item,The situation in the Roundhouse,770,141
1871,Still Image,"Plan der Belegung im Roundhouse, 18. Mai 1945",419,73
1872,Still Image,"Postkarte mit Innenansicht der Kommandanturkantine, 1930er Jahre",204,29
1873,Physical Object,"Adressangaben in der Kaserne, 1942",114,18
1874,Still Image,"Foto von Wehrmachtangehörigen, Anfang der 1940er Jahre",169,26
1875,Still Image,"Blick in das befreite Nebenlager, 18. April 1945",173,31
1876,Still Image,"Repatriation of survivors, 25 April 1945",352,57
1877,Biographical Text,TEST item,0,0
1878,Biographical Text,Léon Delarbre,13,2
1879,Biographical Text,Leopold Claessens,804,129
1880,Biographical Text,Rafael Olewski,427,68
1881,Still Image,Slaapzaal. Vrouwen liggen op bedden,0,0
1882,Still Image,Slaapzaal. Vrouw op voorgrond draagt nog concentratiekamp kleding?,0,0
1883,Biographical Text,Josef Rosensaft,709,108
1884,Still Image,"ORT-Fachschule im Gebäude M.B. 87, 1940er Jahre",372,57
1885,Still Image,"Sportklub Polonia, November 1945",188,31
1886,Physical Object,"Polski Klub Sportowy ""Polonia"" Bergen-Belsen
Legitymacia Nr. 6",333,53
1887,Physical Object,"Personalkarte I Dmitrij Koschkin, Vorderseite",282,52
1888,Still Image,Sowjetische Kriegsgefangene bei Bauarbeiten in der Kaserne Bergen-Hohne,79,11
1889,Still Image,Arbeitskommando sowjetischer Kriegsgefangener in der Kaserne,363,63
1890,Biographical Text,Hubert Allios,628,103
1891,Text Item,"Auszug aus einem Brief von Lucien Fayman an die Schwester von Hubert Allios, 13. September 1945",1140,206
1892,Text Item,"Auszug aus dem Brief des Wehrmachtangehörigen W. Damaschke, 19. September 1941",734,128
1894,Contextual Item,Wehrmachtsoldaten,450,76
1895,Contextual Item,Kommandantur Stalag,667,105
1896,Contextual Item,Kriegsgefangene,1079,172
1897,Contextual Item,Das polnische DP-Camp 1945-1946,703,107
1898,Contextual Item,CTX Versorgung der Wehrmachtsoldaten,427,67
1899,Contextual Item,CTX Berufliche Bildung im DP-Camp,958,150
1900,Contextual Item,CTX Ankunft im Nebenlager,693,123
1901,Contextual Item,Das Nebenlager in der Kaserne,910,149
